body_Click,body_Win,subj_credentials,body_richness,sender_diff_replyTo,body_Verify,sender_no_characters,subj_richness,body_iframe,subj_access,body_Open,subj_account,subj_security,body_forms,body_Security,body_scripts,body_num_of_attachments,body_popups,subj_forwarded_email,body_html,body_Confirm,subj_replied_email,body_Account,subj_prime_targets,body_Access,body_Bank,subj_forwarder_email,body_general_salutation,subj_verify,sender_no_words,subj_urgent,label
0,0,1,1.0476190476190477,0,0,42,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,8.555555555555555,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.2708333333333333,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.6163522012578617,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.0,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
0,1,1,2.009433962264151,0,0,48,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,1,0
0,1,1,1.6602316602316602,0,0,48,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,1,0
0,0,1,1.0,0,0,38,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.1875,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,1,1,1.805,0,0,42,1.0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.3333333333333333,0,0,30,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.4366197183098592,0,0,53,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0
0,0,1,2.1454545454545455,0,0,35,1.0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,1,0
0,1,1,1.3636363636363635,0,0,53,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.3205128205128205,0,0,42,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,1.2432432432432432,0,0,39,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,1.4273504273504274,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
1,0,1,1.1470588235294117,0,0,27,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0
0,0,1,1.2432432432432432,0,0,39,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,1.2857142857142858,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.0,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.4390243902439024,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0
0,1,1,1.6403508771929824,0,0,43,1.0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.8878504672897196,0,0,39,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,1.1515151515151516,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.2419354838709677,0,0,45,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
